period,duration,depth,impact,prad,insol,teq,steff,slogg,srad,smass,smet,star_mag,snr,ntrans,pred_label,top_p,margin,accepted
10.5,,,,,,,,,,,,,,,FALSE POSITIVE,0.795424185454326,0.591495120119946,False
10.5,4.2,500,,,,,,,,,,,,,FALSE POSITIVE,0.5379758260402612,0.07860030035062848,False
2.79082852671309,2.25998692244802,10049.6938822678,,16.7559487906763,1998.78115237347,1705.34032234139,6635.91,4.24728,1.47070002555847,,,10.5136,,,CONFIRMED,0.7099923643040325,0.45506768034250766,False
2.79082852671309,2.25998692244802,10049.6938822678,,16.7559487906763,1998.78115237347,1705.34032234139,6635.91,4.24728,1.47070002555847,,,10.5136,,,CONFIRMED,0.7099923643040325,0.45506768034250766,False
2.79082852671309,2.25998692244802,10049.6938822678,,16.7559487906763,1998.78115237347,1705.34032234139,6635.91,4.24728,1.47070002555847,,,10.5136,,,CONFIRMED,0.7099923643040325,0.45506768034250766,False
2.79082852671309,2.25998692244802,10049.6938822678,,16.7559487906763,1998.78115237347,1705.34032234139,6635.91,4.24728,1.47070002555847,,,10.5136,,,CONFIRMED,0.7099923643040325,0.45506768034250766,False
2.79082852671309,2.25998692244802,10049.6938822678,,16.7559487906763,1998.78115237347,1705.34032234139,6635.91,4.24728,1.47070002555847,,,10.5136,,,CONFIRMED,0.7099923643040325,0.45506768034250766,False
2.79082852671309,2.25998692244802,10049.6938822678,,16.7559487906763,1998.78115237347,1705.34032234139,6635.91,4.24728,1.47070002555847,,,10.5136,,,CONFIRMED,0.7099923643040325,0.45506768034250766,False
2.79082852671309,2.25998692244802,10049.6938822678,,16.7559487906763,1998.78115237347,1705.34032234139,6635.91,4.24728,1.47070002555847,,,10.5136,,,CONFIRMED,0.7099923643040325,0.45506768034250766,False
2.79082852671309,2.25998692244802,10049.6938822678,,16.7559487906763,1998.78115237347,1705.34032234139,6635.91,4.24728,1.47070002555847,,,10.5136,,,CONFIRMED,0.7099923643040325,0.45506768034250766,False
2.79082852671309,2.25998692244802,10049.6938822678,,16.7559487906763,1998.78115237347,1705.34032234139,6635.91,4.24728,1.47070002555847,,,10.5136,,,CONFIRMED,0.7099923643040325,0.45506768034250766,False
